Image_ID,Mask_ID,Facemask_ID,Maskexists,Masknotexists,Face_Coordinates,Image_Coordinates,Image_CategoryID,Riskmask_ID,Non_riskmaskID,FileID,Maskweidth,Maskheight,Imagewidth,Imageheight,Mask_Price,Encryption_Key,Encryption_Method_SSN,Masked_Social_Security_Number,Masked_Credi_Number,Masked_DOB,Privacy_Policy_Reference_Number,Masked_Medical_Record,Data_Masking_Entity
39,139,2975,FALSE,FALSE,2664,2707,208500,359,81229,185265,61,38,343,343,519,347,94103,368,94103,2621,2706.97,838.6,185265
40,140,2575,FALSE,FALSE,2877,2788,210000,347,81006,174999,62,38,344,344,422,355,94103,399,94103,2575,2788.4,821.75,174999
41,141,2949,FALSE,FALSE,2665,2909,316300,355,78240,172796,63,37,350,350,422,353,94303,699,94303,2647,2909.16,826.65,172796
42,142,2610,FALSE,FALSE,2469,2552,132000,353,77799,164471,64,38,353,353,422,358,94111,885,94111,2452,2551.77,822.45,164471
43,143,2500,FALSE,FALSE,2501,2494,172700,357,71498,148001,65,37,335,335,519,336,94301,424,94301,2421,2493.76,825.8,148001
44,144,2500,FALSE,FALSE,2301,2405,144700,336,69759,35534,66,37,335,335,747,345,95054,1126,95054,2301.15,2404.65,797.15,35534
45,145,2272,FALSE,FALSE,2117,2150,90200,345,65200,28335,67,38,337,337,422,338,94107,788,94107,2117.1,2149.62,797.65,28335
46,146,1948,FALSE,FALSE,2023,1977,175200,339,64926,1904,68,38,321,321,454,326,94107,759,94107,1947.75,1976.75,822.1,1904
47,147,668,FALSE,FALSE,650,660,111100,326,49491,297114,69,38,321,321,1072,326,94103,1146,94103,601,660.32,811.55,297114
48,148,660,FALSE,FALSE,653,656,81200,326,42560,0,70,38,325,325,389,328,94133,665,94133,640,656.26,805.1,0
49,149,659,FALSE,FALSE,646,650,61600,327,35673,0,71,37,325,325,649,330,94063,429,94063,632,650.01,869.55,0
50,150,670,FALSE,FALSE,668,677,95400,331,14681,45173,72,38,331,331,584,339,94107,399,94107,650.05,677.23,935.9,45173
51,151,675,FALSE,FALSE,721,703,143700,339,123485,236937,73,38,338,338,584,349,94111,848,94111,666,702.59,947.55,236937
52,152,740,FALSE,FALSE,746,756,25600,350,82155,143590,74,38,342,342,584,342,94108,654,94108,721,755.77,902.85,143590
53,153,725,FALSE,FALSE,762,758,118700,342,125867,242317,75,38,342,342,454,345,94108,1033,94108,721,757.95,924.25,242317
54,154,780,FALSE,FALSE,799,790,85026,345,104976,195133,76,38,344,344,1429,363,94107,390,94107,757,789.71,910.7,195133
55,155,814,FALSE,FALSE,735,749,61550,362,89803,160863,77,37,358,358,1494,367,95014,493,95014,735,749.46,901.7,160863
56,156,691,FALSE,FALSE,725,721,36125,366,75297,128100,78,41,364,364,1202,368,10010,721,10010,686,721.48,973.85,128100
57,157,734,FALSE,FALSE,733,726,32075,368,114285,216156,79,38,368,368,389,424,94110,597,94110,715,725.65,1051.8,216156
58,158,738,FALSE,FALSE,675,685,42001,427,171985,346479,80,38,401,401,454,421,94107,399,94107,674.75,685.49,1087.95,346479
59,159,655,FALSE,FALSE,622,634,93495,418,72338,121416,81,38,385,385,422,398,94102,888,94102,621,633.83,1000.95,121416
60,160,645,FALSE,FALSE,594,613,23660,400,169567,341016,82,38,371,371,422,376,94107,353,94107,580,613.03,986.55,341016
61,161,575,FALSE,FALSE,612,590,98921,375,158671,316408,83,38,375,375,422,388,94404,599,94404,570,589.93,944.35,316408
62,162,623,FALSE,FALSE,633,631,71380,388,114523,216695,84,38,378,378,552,387,94401,518,94401,590,631.11,936,216695
63,163,648,FALSE,FALSE,586,605,213574,388,85843,151917,85,38,371,371,942,375,94608,295,94608,582.5,604.63,970.4,151917
64,164,542,FALSE,FALSE,540,540,53473,374,101106,186392,86,38,374,374,487,381,94103,852,94103,539.5,540.12,999.05,186392
65,165,550,FALSE,FALSE,566,551,88895,380,59329,92033,87,38,357,357,292,358,94607,824,94607,515,551.09,947.5,92033
66,166,580,FALSE,FALSE,537,537,76357,358,157143,312956,88,37,344,344,357,351,94538,499,94538,520.8,537.15,952.15,312956
67,167,550,FALSE,FALSE,580,570,20370,352,68670,113131,89,38,351,351,357,353,94107,909,94107,550,570.46,932.35,113131
68,168,624,FALSE,FALSE,627,623,149272,353,177717,359426,90,38,353,353,357,368,94903,432,94903,612.05,622.98,1006.95,359426
69,169,627,FALSE,FALSE,593,594,87414,367,94409,171267,91,38,367,367,292,377,0,545,0,580.3,593.75,1043.9,171267
70,170,601,FALSE,FALSE,606,610,45088,377,183945,373492,92,37,375,375,292,375,94063,1146,94063,597,610.07,1000.9,373492
71,171,590,FALSE,FALSE,579,583,51006,376,82484,144333,93,38,366,366,292,368,94588,696,94588,571.15,583.14,962.9,144333
72,172,535,FALSE,FALSE,532,534,86534,371,144515,284436,94,38,368,368,292,370,94108,432,94108,532.4,534.27,925.85,284436
73,173,532,FALSE,FALSE,545,538,88332,369,105333,195939,95,38,358,358,292,376,94107,631,94107,505.05,537.61,908.25,195939
74,174,560,FALSE,FALSE,501,522,83547,376,122331,234330,96,38,372,372,519,375,94612,316,94612,501,522.03,906.45,234330
75,175,465,FALSE,FALSE,494,474,50745,376,168459,338516,97,38,373,373,1072,378,94103,362,94103,460.95,474.41,854.65,338516
76,176,500,FALSE,FALSE,473,476,62466,378,60948,95690,98,37,377,377,1072,379,95008,329,95008,462.05,475.57,896,95690
77,177,440,FALSE,FALSE,436,438,82390,379,162734,325584,99,38,378,378,1072,381,94103,399,94103,435.15,438.05,853.25,325584
78,178,455,FALSE,FALSE,430,427,62291,382,181574,368138,100,38,374,374,1072,375,94612,751,94612,401.4,427.36,814.25,368138
79,179,419,FALSE,FALSE,397,408,98202,376,73578,124216,101,38,368,368,1072,370,94612,791,94612,396.05,408.4,879.4,124216
80,180,399,FALSE,FALSE,369,375,53901,369,84782,149523,102,38,366,366,1072,377,94102,684,94102,366.2,375.39,905.3,149523
81,181,346,FALSE,FALSE,325,329,137395,377,168870,339444,103,38,371,371,1072,375,94403,1281,94403,324.9,328.94,926.3,339444
82,182,315,FALSE,FALSE,360,334,83471,375,72607,122024,104,41,373,373,1169,375,10010,1186,10010,286,334.11,955.2,122024
83,183,380,FALSE,FALSE,403,397,96675,375,56788,86295,105,38,362,362,1169,362,94103,499,94103,374,397.29,874.9,86295
84,184,435,FALSE,FALSE,452,450,130558,362,67474,110429,106,37,345,345,1169,352,94063,1105,94063,435.45,449.76,891.2,110429
85,185,488,FALSE,FALSE,461,465,41150,352,52732,77134,107,38,346,346,1169,346,0,499,0,435,464.6,880,77134
86,186,440,FALSE,FALSE,449,442,46303,344,140238,274775,108,38,339,339,1169,351,94111,377,94111,424.95,441.87,886.1,274775
87,187,455,FALSE,FALSE,432,443,72915,351,166599,334313,109,38,349,349,1169,353,94105,744,94105,420,442.54,876.45,334313
88,188,405,FALSE,FALSE,398,403,55996,352,102991,190648,110,38,347,347,1169,347,654,744,654,391,402.71,870,190648
89,189,399,FALSE,FALSE,357,363,28457,347,78407,135123,111,38,345,345,1104,352,94612,859,94612,350.6,363.36,873.1,135123
90,190,338,FALSE,FALSE,354,355,61100,351,111764,210464,112,38,345,345,1104,345,94105,487,94105,330.1,354.7,810.5,210464
91,191,370,FALSE,FALSE,386,382,81449,346,63663,101822,113,38,327,327,1494,327,94104,825,94104,350,382.29,821.4,101822
92,192,414,FALSE,FALSE,401,411,84611,327,142575,280054,114,38,315,315,1494,320,94105,680,94105,398.05,410.64,822.5,280054
93,193,390,FALSE,FALSE,409,407,41617,320,115980,219986,115,38,304,304,1494,311,94588,725,94588,375,406.76,824.95,219986
94,194,380,FALSE,FALSE,454,444,34695,311,132916,258237,116,38,307,307,1494,318,94108,696,94108,380,443.63,819.35,258237
95,195,442,FALSE,FALSE,442,442,46550,318,155954,310272,117,38,316,316,1494,330,94104,499,94104,430,442.15,819.6,310272
96,196,448,FALSE,FALSE,430,426,57066,330,167412,336150,118,38,319,319,1494,321,94104,499,94104,390.1,425.51,830.25,336150
97,197,430,FALSE,FALSE,442,437,28260,321,88710,158395,119,38,320,320,1494,332,94107,696,94107,411,436.94,823.85,158395
98,198,449,FALSE,FALSE,437,444,73554,332,164139,328758,120,37,330,330,1494,335,94085,406,94085,430.05,444.25,806.6,328758
99,199,435,FALSE,FALSE,417,424,16358,334,131575,255208,121,38,321,321,1494,323,94103,852,94103,407.7,423.85,828.65,255208
100,200,413,FALSE,FALSE,427,428,25253,322,169315,340447,122,37,317,317,1494,319,94043,399,94043,413,427.6,865.4,340447
101,201,423,FALSE,FALSE,437,433,33023,319,86636,153710,123,37,317,317,1494,328,94063,432,94063,421,433.22,876,153710
102,202,454,FALSE,FALSE,444,457,36928,328,177469,358864,124,38,313,313,1494,316,94104,499,94104,440,457.01,897.55,358864
103,203,425,FALSE,FALSE,436,437,24197,316,157980,314847,125,38,311,311,1494,317,94103,1338,94103,420,437.31,924,314847
104,204,441,FALSE,FALSE,451,448,33805,318,56944,86648,126,37,312,312,1494,313,94063,472,94063,440,447.93,938.35,86648
105,205,480,FALSE,FALSE,468,472,26315,313,98501,180507,127,38,309,309,454,311,987,788,987,453,472.08,946.6,180507
106,206,470,FALSE,FALSE,483,478,31855,311,87219,155026,128,38,310,310,454,320,94103,832,94103,465,477.95,926.3,155026
107,207,485,FALSE,FALSE,509,498,30030,320,178760,361780,129,38,314,314,454,314,94107,399,94107,485,498.32,933.7,361780
108,208,529,FALSE,FALSE,569,556,56505,314,101668,187661,130,38,314,314,454,315,94063,599,94063,514.25,555.55,935.8,187661
109,209,580,FALSE,FALSE,527,545,28970,315,151783,300850,131,38,281,281,454,281,94105,692,94105,504,545.01,927.95,300850
110,210,520,FALSE,FALSE,489,503,56200,281,68873,113590,132,38,258,258,454,264,94104,518,94104,485.25,502.78,947.2,113590
111,211,474,FALSE,FALSE,492,495,47826,265,139016,272015,133,38,265,265,454,274,94107,788,94107,462.25,494.7,943.95,272015
112,212,509,FALSE,FALSE,503,509,35160,275,69110,114124,134,38,273,273,487,286,94107,318,94107,500,508.94,948.7,114124
113,213,499,FALSE,FALSE,502,500,13525,286,55092,82463,135,38,283,283,487,294,94111,597,94111,489,499.7,972.45,82463
114,214,504,FALSE,FALSE,506,506,42226,294,136287,265851,136,38,282,282,487,283,94105,888,94105,501,506.02,984.2,265851
115,215,500,FALSE,FALSE,544,526,34211,282,122307,234276,137,38,281,281,487,290,94104,406,94104,500,525.87,1008.6,234276
116,216,552,FALSE,FALSE,606,583,44879,287,154357,306664,138,37,274,274,487,275,95131,1186,95131,540.1,582.77,1003.75,306664
117,217,649,FALSE,FALSE,574,607,23385,275,114807,217335,139,38,265,265,487,266,94612,791,94612,563,606.96,995.55,217335
118,218,580,FALSE,FALSE,563,571,22550,266,55624,83665,140,38,265,265,487,268,94111,807,94111,550,571.49,977.4,83665
119,219,550,FALSE,FALSE,558,562,18700,267,73896,124935,141,38,220,220,812,226,94107,807,94107,550,561.7,978.6,124935
120,220,551,FALSE,FALSE,550,547,18105,224,172902,348549,142,38,172,172,812,178,94105,311,94105,516,546.89,972.95,348549
121,221,551,FALSE,FALSE,529,537,26628,177,129481,250478,143,38,177,177,812,210,94105,387,94105,525,536.98,975.6,250478
122,222,532,FALSE,FALSE,538,535,13170,209,115891,219784,144,39,200,200,649,208,95814,348,95814,520,534.94,951.8,219784
123,223,550,FALSE,FALSE,538,550,13170,208,169404,340650,145,38,195,195,779,199,94063,597,94063,531,550.17,964.8,340650
124,224,543,FALSE,FALSE,540,540,11225,200,161667,323174,146,37,195,195,779,210,95134,549,95134,530,540.09,991,323174
125,225,557,FALSE,FALSE,567,559,32314,211,50117,71228,147,38,207,207,1072,215,94123,635,94123,542.25,558.64,986.9,71228
126,226,575,FALSE,FALSE,626,615,32291,213,86613,153658,148,38,205,205,1072,211,94568,597,94568,570,614.61,998.05,153658
127,227,625,FALSE,FALSE,596,602,14975,211,91641,165013,149,38,211,211,1072,227,94107,790,94107,586,601.5,999.55,165013
128,228,590,FALSE,FALSE,601,604,32902,227,138793,271512,150,38,226,226,1072,233,94608,375,94608,575,604.05,998.25,271512
129,229,605,FALSE,FALSE,609,612,22583,234,128987,249363,151,38,225,225,1072,233,94122,1115,94122,604.8,612.13,988.8,249363
130,230,615,FALSE,FALSE,608,610,29960,233,111462,209781,152,38,230,230,1072,248,94107,579,94107,601,610.28,987.95,209781
131,231,612,FALSE,FALSE,594,598,35795,247,129804,251210,153,38,244,244,1072,254,94103,788,94103,590,597.99,989.3,251210
132,232,595,FALSE,FALSE,557,556,61265,254,178848,361979,154,37,254,254,1137,273,94063,597,94063,531.25,556.07,991.9,361979
133,233,575,FALSE,FALSE,562,571,203782,273,101028,186216,155,38,251,251,1137,263,94105,499,94105,560,570.78,1031.85,186216
134,234,566,FALSE,FALSE,573,570,292396,263,136846,267113,156,38,227,227,1137,234,94107,517,94107,561,570.31,1035.65,267113
135,235,575,FALSE,FALSE,588,589,203216,233,94579,171650,157,37,221,221,1137,234,94306,442,94306,571.25,589.01,1044.7,171650
136,236,590,FALSE,FALSE,589,597,145374,233,148748,293996,158,38,226,226,1137,226,94612,399,94612,580.05,596.74,1109.2,293996
137,237,592,FALSE,FALSE,580,590,370407,226,91139,163880,159,38,216,216,1137,217,94103,518,94103,576,590.12,1108.9,163880
138,238,580,FALSE,FALSE,581,589,118820,217,173343,349547,160,38,212,212,1137,227,94105,348,94105,565,588.9,1099.5,349547
139,239,589,FALSE,FALSE,593,593,374592,226,175906,355335,161,38,223,223,844,238,94612,788,94612,587,592.9,1103,355335
140,240,588,FALSE,FALSE,571,579,112272,237,112883,212992,162,38,224,224,1299,227,94608,499,94608,550.1,579.36,1118.65,212992
141,241,561,FALSE,FALSE,607,581,214111,228,138079,269899,163,38,221,221,942,227,94105,597,94105,533.2,580.77,1139.85,269899
142,242,625,FALSE,FALSE,600,611,92398,228,78690,135762,164,38,215,215,487,217,94108,696,94108,597,611.04,1149.1,135762
143,243,596,FALSE,FALSE,609,602,65415,217,140832,276118,165,38,216,216,779,222,94110,363,94110,590,602.47,1010.65,276118
144,244,599,FALSE,FALSE,604,601,66122,223,182316,369812,166,37,223,223,1364,228,95054,299,95054,598,601.47,1037.35,369812
145,245,609,FALSE,FALSE,607,607,102212,228,129233,249919,167,38,221,221,1299,223,94103,690,94103,595,607.26,1027.8,249919
146,246,610,FALSE,FALSE,591,602,95215,223,152521,302517,168,38,217,217,617,220,8765,574,8765,580,601.98,1029.7,302517
147,247,615,FALSE,FALSE,595,590,47648,220,133850,260346,169,38,215,215,649,220,94103,1399,94103,578.1,590.05,948.95,260346
148,248,590,FALSE,FALSE,590,603,29107,220,169432,340712,170,38,218,218,779,219,94105,999,94105,586,603.09,967.85,340712
149,249,586,FALSE,FALSE,599,595,28109,219,109333,204973,171,38,218,218,1039,222,94133,999,94133,585,595.04,961.6,204973
150,250,592,FALSE,FALSE,592,592,23505,222,121506,232466,172,37,221,221,454,235,95050,487,95050,586.15,592.38,945.65,232466
151,251,591,FALSE,FALSE,591,591,86977,236,108917,204033,173,38,236,236,909,257,94105,376,94105,583,591.45,917.2,204033
152,252,592,FALSE,FALSE,595,594,16992,258,169325,340470,174,38,228,228,779,235,94107,1115,94107,588,593.98,930.15,340470
153,253,595,FALSE,FALSE,600,599,22929,235,161423,322624,175,38,229,229,487,234,0,517,0,591,599.15,915.65,322624
154,254,603,FALSE,FALSE,596,595,23452,233,171478,345335,176,38,232,232,1364,244,94104,1126,94104,592.2,595.35,901.25,345335
155,255,590,FALSE,FALSE,593,588,21411,244,137671,268977,177,38,232,232,779,236,94103,725,94103,580,588.09,912.15,268977
156,256,598,FALSE,FALSE,627,615,50963,236,105583,196502,178,38,236,236,617,240,94105,499,94105,595.1,614.96,922,196502
157,257,631,FALSE,FALSE,586,600,19917,240,141472,277563,179,38,239,239,1234,244,94103,721,94103,583.05,600.02,923,277563
158,258,590,FALSE,FALSE,592,594,85685,244,169573,341030,180,38,243,243,877,245,94103,666,94103,580.25,594.05,920.5,341030
159,259,595,FALSE,FALSE,593,592,18477,245,126994,244862,181,37,234,234,1494,236,95110,496,95110,585.4,592.05,938.95,244862
160,260,591,FALSE,FALSE,588,589,34739,236,119743,228486,182,38,232,232,1364,239,94588,353,94588,582.1,588.7,942.1,228486
161,261,596,FALSE,FALSE,589,590,34260,239,103156,191021,183,38,236,236,1039,239,94107,399,94107,588.05,590.42,926.8,191021
162,262,586,FALSE,FALSE,585,585,74803,239,86313,152981,184,38,236,236,714,237,94103,458,94103,575,584.82,921.65,152981
163,263,590,FALSE,FALSE,588,591,38879,237,105675,196711,185,37,234,234,1299,236,94085,1115,94085,584,591.26,919.65,196711
164,264,586,FALSE,FALSE,581,584,37147,236,152269,301948,186,38,236,236,454,254,94107,845,94107,580.55,584.48,918.7,301948
165,265,583,FALSE,FALSE,563,570,43593,254,101972,188346,187,38,249,249,779,254,94103,399,94103,560,570.33,922.55,188346
166,266,570,FALSE,FALSE,561,565,39118,254,166402,333870,188,41,246,246,454,260,10012,499,10012,556,565.32,917.45,333870
167,267,564,FALSE,FALSE,562,564,20113,260,84758,149467,189,38,258,258,324,276,94111,517,94111,560,563.58,920.25,149467
168,268,567,FALSE,FALSE,559,565,30633,275,142289,279407,190,38,268,268,324,282,94063,517,94063,558.05,565.28,917.9,279407
169,269,556,FALSE,FALSE,533,542,43569,282,155519,309288,191,38,268,268,389,273,94105,599,94105,522.25,542.41,915.35,309288
170,270,545,FALSE,FALSE,530,535,88317,273,177676,359331,192,38,265,265,422,276,94104,487,94104,524,535.07,917.85,359331
171,271,539,FALSE,FALSE,534,536,120662,276,111138,209050,193,38,270,270,422,273,94103,487,94103,529.05,536.19,928.65,209050
172,272,539,FALSE,FALSE,545,542,119066,272,142491,279863,194,38,270,270,422,276,94111,568,94111,535,542.37,926.45,279863
173,273,555,FALSE,FALSE,572,574,85509,276,65815,106682,195,38,273,273,584,274,94107,399,94107,555,574.32,916,106682
174,274,565,FALSE,FALSE,545,555,86073,275,88870,158756,196,38,274,274,389,290,94612,295,94612,540.15,554.58,928,158756
175,275,549,FALSE,FALSE,536,543,59230,290,125272,240972,197,38,290,290,422,292,94107,484,94107,534,543.38,930.3,240972
176,276,532,FALSE,FALSE,535,537,35876,292,163463,327230,198,38,291,291,389,296,94103,626,94103,530,536.9,924.25,327230
177,277,532,FALSE,FALSE,522,527,88092,296,154540,307076,199,38,292,292,487,294,94105,563,94105,516,527.23,894.45,307076
178,278,506,FALSE,FALSE,490,496,53757,294,151151,299422,200,38,285,285,519,285,94105,387,94105,480,496.49,896.35,299422
179,279,490,FALSE,FALSE,470,477,59048,284,178297,360734,201,37,281,281,617,282,94041,464,94041,462,476.88,885.3,360734
180,280,499,FALSE,FALSE,492,486,18046,281,106401,198351,202,37,281,281,617,286,95032,512,95032,477,486.04,889.85,198351
181,281,492,FALSE,FALSE,482,482,41310,286,76644,131142,203,38,286,286,649,291,94111,1112,94111,477,482.13,912.9,131142
182,282,456,FALSE,FALSE,446,450,49802,291,110228,206995,204,38,284,284,649,286,94102,626,94102,427,449.57,905.1,206995
183,283,459,FALSE,FALSE,479,468,32469,285,122570,234871,205,38,250,250,617,256,94105,376,94105,447.55,467.95,893,234871
184,284,485,FALSE,FALSE,466,465,35460,256,54206,80462,206,41,249,249,649,261,10016,859,10016,452.75,464.53,828.05,80462
185,285,455,FALSE,FALSE,457,454,24148,261,73850,124831,207,38,259,259,617,262,94108,597,94108,446.05,454.37,837.2,124831
186,286,459,FALSE,FALSE,452,452,20572,262,117354,223089,208,38,256,256,357,260,94103,329,94103,443.1,452.05,845.4,223089
187,287,455,FALSE,FALSE,435,442,22888,260,63815,102165,209,38,260,260,552,268,94104,583,94104,431.05,441.9,841.4,102165
188,288,421,FALSE,FALSE,414,421,25058,268,67199,109810,210,38,262,262,649,267,94103,665,94103,411.75,421.16,827.6,109810
189,289,442,FALSE,FALSE,436,434,13355,267,181392,367725,211,38,244,244,747,246,94104,582,94104,415,434.24,864.65,367725
190,290,444,FALSE,FALSE,451,456,12800,247,181551,368084,212,38,237,237,649,246,94105,1126,94105,439.1,456.03,846.55,368084
191,291,455,FALSE,FALSE,473,460,34905,246,156936,312489,213,38,245,245,422,249,6548,534,6548,442.15,460.37,850.95,312489
192,292,472,FALSE,FALSE,462,465,16245,249,181580,368149,214,38,245,245,519,247,94105,319,94105,455.25,464.55,876.25,368149
193,293,460,FALSE,FALSE,449,452,25540,247,94377,171193,215,38,247,247,422,253,94108,368,94108,445,452.41,875.95,171193
194,294,437,FALSE,FALSE,434,440,21860,253,76229,130205,216,38,241,241,942,243,94103,597,94103,432,439.58,915.3,130205
195,295,431,FALSE,FALSE,435,432,22269,243,89584,160367,217,41,239,239,779,248,10016,654,10016,420.05,432.39,886.75,160367
196,296,430,FALSE,FALSE,424,427,40688,247,176839,357442,218,37,243,243,422,244,94043,795,94043,418,426.61,903.25,357442
197,297,439,FALSE,FALSE,454,456,82555,244,113579,214563,219,38,241,241,812,247,94104,744,94104,434,456.31,903.25,214563
198,298,445,FALSE,FALSE,470,470,111724,247,74477,126247,220,38,245,245,812,253,2134,692,2134,445,469.59,944.4,126247
199,299,465,FALSE,FALSE,443,455,55007,253,88649,158256,221,38,252,252,812,254,94107,563,94107,435,454.98,943.6,158256
200,300,449,FALSE,FALSE,453,450,96179,254,94066,170491,222,38,251,251,812,254,94612,545,94612,439.45,450.35,928.2,170491
201,301,470,FALSE,FALSE,479,475,53366,254,146874,289763,223,38,252,252,714,261,94110,999,94110,461,475.18,919.55,289763
202,302,485,FALSE,FALSE,467,473,51771,261,163550,327427,224,38,255,255,714,255,94111,654,94111,465.05,472.91,955.5,327427
203,303,467,FALSE,FALSE,467,466,65635,255,138873,271691,225,38,252,252,1234,253,94105,588,94105,461,465.9,956.15,271691
204,304,490,FALSE,FALSE,488,490,50118,253,121483,232414,226,38,244,244,1234,245,94107,497,94107,466.25,489.87,983.15,232414
205,305,486,FALSE,FALSE,508,503,27222,245,89595,160392,227,38,239,239,1234,244,94105,517,94105,485.1,503.25,966.8,160392
